id,title,link
1,"Một tàu chở 1 triệu thùng dầu thành công đi qua eo biển Hormuz, băng băng tiến thẳng đến 1 quốc gia Đông Nam Á",https://cafef.vn/mot-tau-cho-1-trieu-thung-dau-thanh-cong-di-qua-eo-bien-hormuz-bang-bang-tien-thang-den-1-quoc-gia-dong-nam-a-188260405195046981.chn
2,"Đang trên đường đến Cuba, tàu chở dầu Nga bất ngờ quay đầu, đổi điểm dỡ hàng sang nước láng giềng",https://cafef.vn/dang-tren-duong-den-cuba-tau-cho-dau-nga-bat-ngo-quay-dau-doi-diem-do-hang-sang-nuoc-lang-gieng-188260405132220811.chn
3,"Nhân viên 34 năm cống hiến cho Oracle, vẫn bị sa thải chỉ ""trong một nốt nhạc"": có phải vì làm quá giỏi và được thưởng quá nhiều?",https://cafef.vn/nhan-vien-34-nam-cong-hien-cho-oracle-van-bi-sa-thai-chi-trong-mot-not-nhac-co-phai-vi-lam-qua-gioi-va-duoc-thuong-qua-nhieu-188260406085614987.chn
4,"Nga nắm gần 1/3 “kho báu” đang thiếu hụt của thế giới vì xung đột Iran, Trung Quốc đặc biệt quan tâm",https://cafef.vn/nga-nam-gan-1-3-kho-bau-dang-thieu-hut-cua-the-gioi-vi-xung-dot-iran-trung-quoc-dac-biet-quan-tam-188260406080823525.chn
5,"Giữ 'át chủ bài Hormuz', Iran đảo ngược các lệnh trừng phạt của Mỹ",https://cafef.vn/giu-at-chu-bai-hormuz-iran-dao-nguoc-cac-lenh-trung-phat-cua-my-188260406071434718.chn
6,"Một quốc gia Châu Á tung ra ""quái kiệt"" khiến truyền thông quốc tế phải công nhận: Họ đang bỏ xa Mỹ",https://cafef.vn/mot-quoc-gia-chau-a-tung-ra-quai-kiet-khien-truyen-thong-quoc-te-phai-cong-nhan-ho-dang-bo-xa-my-18826040607063729.chn
7,"Nga công bố sẽ bàn giao 113 tàu vận tải mới cho khách hàng: ""Phép màu"" nào đã giúp họ làm được điều đó?",https://cafef.vn/nga-cong-bo-se-ban-giao-113-tau-van-tai-moi-cho-khach-hang-phep-mau-nao-da-giup-ho-lam-duoc-dieu-do-188260406054542073.chn
8,Iran bác bỏ tối hậu thư của Mỹ,https://cafef.vn/iran-bac-bo-toi-hau-thu-cua-my-188260406061804315.chn
9,"Ông Donald Trump ""trút thịnh nộ"" liên quan đến Hormuz, Iran cảnh báo trả đũa",https://cafef.vn/ong-donald-trump-trut-thinh-no-lien-quan-den-hormuz-iran-canh-bao-tra-dua-188260406061301621.chn
10,Vì sao con người mất quá nhiều thời gian để quay trở lại Mặt Trăng?,https://cafef.vn/vi-sao-con-nguoi-mat-qua-nhieu-thoi-gian-de-quay-tro-lai-mat-trang-188260406060435511.chn
